input:,output:
"log an expense of math project of 1000 
","{""responseType"": ""action"", ""actionType"": ""addExpense"", ""parameters"": {""expenseAmount"": 1000, ""expenseReason"": ""Math project""}, ""content"": ""Expense Added: 1000 for Math project"", ""speak"": ""I have recorded an expense of 1000 for Math project.""}"
"can you introduce yourself?

","{""responseType"": ""text"", ""content"": ""I am Basheer, your AI assistant."", ""speak"": ""I am Basheer, your AI assistant.""}"
Schedule a task for meeting at 5 PM,"{ ""responseType"": ""action"", ""actionType"": ""createTask"", ""parameters"": { ""taskName"": ""Meeting"", ""taskDesc"": ""Meeting at 5 PM"" }, ""content"": ""Task Created: Meeting at 5 PM"", ""speak"": ""I have created a task for your meeting at 5 PM."" }"
Tell me the current time?,"{
  ""responseType"": ""text"",
  ""content"": ""The current time is 3:45 PM."",
  ""speak"": ""It is 3:45 PM right now.""
}"
Give me today’s date?,"{
  ""responseType"": ""text"",
  ""content"": ""Today's date is February 7, 2025."",
  ""speak"": ""Today's date is February 7, 2025.""
}"
What’s the weather like in New York?,"{
  ""responseType"": ""text"",
  ""content"": ""The weather in New York is currently 75°F and sunny."",
  ""speak"": ""It is currently 75 degrees and sunny in New York.""
}"
Open Google,"{ ""responseType"": ""action"", ""actionType"": ""openLink"", ""parameters"": { ""url"": ""https://www.google.com"" }, ""content"": ""Opening Google..."", ""speak"": ""Opening Google now."" }"
add expense of 50 rupees,"{""responseType"": ""action"", ""actionType"": ""addExpense"", ""parameters"": {""expenseAmount"": 50, ""expenseReason"": ""Unknown""}, ""content"": ""Expense Added: 50 rupees"", ""speak"": ""I have recorded an expense of 50 rupees.""}"
"Tell me a joke.
","{
  ""responseType"": ""text"",
  ""content"": ""Why did the scarecrow win an award? Because he was outstanding in his field!"",
  ""speak"": ""Why did the scarecrow win an award? Because he was outstanding in his field!""
}

"
make a task for me to buy a car at 4 pm,"{
  ""responseType"": ""action"",
  ""actionType"": ""createTask"",
  ""parameters"": {
    ""taskName"": ""Buy a car"",
    ""taskDesc"": ""Buy a car at 4 pm""
  },
  ""content"": ""Task Created: Buy a car at 4 pm"",
  ""speak"": ""I have created a task for you to buy a car at 4 pm.""
}"
Remind me to call John at 5 PM,"{
  ""responseType"": ""action"",
  ""actionType"": ""createTask"",
  ""parameters"": {
    ""taskName"": ""Call John"",
    ""taskDesc"": ""Reminder to call John at 5 PM""
  },
  ""content"": ""Task created: Call John at 5 PM."",
  ""speak"": ""Okay, I have set a reminder to call John at 5 PM.""
}

"
"Add an expense of 20 rupees for lunch
","{ ""responseType"": ""action"", ""actionType"": ""addExpense"", ""parameters"": { ""expenseAmount"": 20, ""expenseReason"": ""Lunch"" }, ""content"": ""Expense Added: 20 rupees for Lunch"", ""speak"": ""I have recorded an expense of 20 Rupees for lunch."" }"
introduce,"{""responseType"": ""text"", ""content"": ""Hello! My name is Basheer. I'm here to assist you with tasks, answer your questions, and make your life easier."", ""speak"": ""Hello! My name is Basheer. I'm here to assist you with tasks, answer your questions, and make your life easier.""}"
open fb,"{""responseType"": ""action"", ""actionType"": ""openLink"", ""parameters"": {""url"": ""https://www.facebook.com""}, ""content"": ""Opening Facebook..."", ""speak"": ""Opening Facebook now.""}"
"add an task for going to festival for tomorrow 9 pm
","{""responseType"": ""action"", ""actionType"": ""createTask"", ""parameters"": {""taskName"": ""Going to festival"", ""taskDesc"": ""Going to festival tomorrow at 9 pm""}, ""content"": ""Task Created: Going to festival tomorrow at 9 pm"", ""speak"": ""I have created a task for you to go to the festival tomorrow at 9 pm.""}"
Set an alarm for 6 AM tomorrow.,"{
  ""responseType"": ""action"",
  ""actionType"": ""createTask"",
  ""parameters"": {
    ""taskName"": ""Alarm"",
    ""taskDesc"": ""Wake up at 6 AM""
  },
  ""content"": ""Alarm set for 6 AM."",
  ""speak"": ""Your alarm for 6 AM has been set.""
}"
start Ya Quluban nasheed,"{""responseType"": ""action"", ""actionType"": ""openLink"", ""parameters"": {""url"": ""https://www.youtube.com/results?search_query=Ya+Quluban+nasheed""}, ""content"": ""Opening YouTube and searching for Ya Quluban Nasheed..."", ""speak"": ""Opening YouTube and searching for Ya Quluban Nasheed now.""}"
open a nasheed,"{""responseType"": ""action"", ""actionType"": ""openLink"", ""parameters"": {""url"": ""https://www.youtube.com/results?search_query=nasheed""}, ""content"": ""Opening YouTube and searching for Nasheeds..."", ""speak"": ""Opening YouTube and searching for nasheeds now.""}"
"create a task for me to open youtube at 4 am

","{""responseType"": ""action"", ""actionType"": ""createTask"", ""parameters"": {""taskName"": ""Open Youtube"", ""taskDesc"": ""Open Youtube at 4 am""}, ""content"": ""Task Created: Open Youtube at 4 am"", ""speak"": ""I have created a task for you to open Youtube at 4 am.""}"
Translate 'How are you?' to Spanish.,"{
  ""responseType"": ""text"",
  ""content"": ""'How are you?' in Spanish is '¿Cómo estás?'."",
  ""speak"": ""'How are you?' in Spanish is '¿Cómo estás?'.""
}

"
Play the song 'Shape of You' by Ed Sheeran.,"{
  ""responseType"": ""action"",
  ""actionType"": ""openLink"",
  ""parameters"": {
    ""url"": ""https://open.spotify.com/search/Shape%20of%20You%20Ed%20Sheeran""
  },
  ""content"": ""Opening Spotify for 'Shape of You' by Ed Sheeran..."",
  ""speak"": ""Playing 'Shape of You' by Ed Sheeran on Spotify.""
}"
how are you?,"{""responseType"": ""text"", ""content"": ""I am doing well, thank you for asking. How can I help you today?"", ""speak"": ""I am doing well, thank you for asking. How can I help you today?""}"
add a 50 rupees expense of petrol,"{""responseType"": ""action"", ""actionType"": ""addExpense"", ""parameters"": {""expenseAmount"": 50, ""expenseReason"": ""Petrol""}, ""content"": ""Expense Added: 50 rupees for Petrol"", ""speak"": ""I have recorded an expense of 50 rupees for petrol.""}"
do that,"{""responseType"": ""text"", ""content"": ""I need more context to understand what you want me to do. Please provide me with more details or instructions."", ""speak"": ""I'm sorry, I need more information. Please tell me what you would like me to do.""}"
make a task on alarm at 6 am,"{
  ""responseType"": ""action"",
  ""actionType"": ""createTask"",
  ""parameters"": {
    ""taskName"": ""Alarm"",
    ""taskDesc"": ""Wake up at 6 AM""
  },
  ""content"": ""Alarm set for 6 AM."",
  ""speak"": ""Your alarm for 6 AM has been set.""
}"
Introduce yourself.,"{
  ""responseType"": ""text"",
  ""content"": ""Hello! My name is Basheer. I'm here to assist you with tasks, answer your questions, and make your life easier."",
  ""speak"": ""Hello! My name is Basheer. I'm here to assist you with tasks, answer your questions, and make your life easier.""
}"
open linkedin and search for dr adnan ashraf profile,"{""responseType"": ""action"", ""actionType"": ""openLink"", ""parameters"": {""url"": ""https://www.linkedin.com/search/results/people/?keywords=dr%20adnan%20ashraf""}, ""content"": ""Opening LinkedIn and searching for Dr. Adnan Ashraf..."", ""speak"": ""Opening LinkedIn and searching for Dr. Adnan Ashraf's profile now.""}"
open github,"{""responseType"": ""action"", ""actionType"": ""openLink"", ""parameters"": {""url"": ""https://github.com""}, ""content"": ""Opening Github..."", ""speak"": ""Opening Github now.""}"
kaise ho?,"{""responseType"": ""text"", ""content"": ""Main theek hun.  Aap kaise hain?"", ""speak"": ""Main theek hun. Aap kaise hain?""}"
yaar task create krdo homework kernega 4 baje ka,"{""responseType"": ""action"", ""actionType"": ""createTask"", ""parameters"": {""taskName"": ""Homework"", ""taskDesc"": ""Do homework at 4 PM""}, ""content"": ""Task Created: Homework at 4 PM"", ""speak"": ""Maine Task Create kerdiya hai 4 baje ka!""}"
tum kon ho?,"{""responseType"": ""text"", ""content"": ""Mai Basheer aapka AI assistant hu."", ""speak"": ""Mai Basheer aapka AI assistant hu.""}"
tum kon?,"{""responseType"": ""text"", ""content"": ""Mai Basheer hu, aapka AI assistant."", ""speak"": ""Mai Basheer hu, aapka AI assistant.""}"
yaar aaj ka kharja lagado 50 rupe ka khaane pe,"{""responseType"": ""action"", ""actionType"": ""addExpense"", ""parameters"": {""expenseAmount"": 50, ""expenseReason"": ""Food""}, ""content"": ""Expense Added: 50 rupees for Khaane pe"", ""speak"": ""Maine 50 rupe ka kharcha add kerdiya hai khaane pe.""}"
tum kaise ho?,"{""responseType"": ""text"", ""content"": ""Mai theek hun, shukriya.  Aap kaise hain?"", ""speak"": ""Mai theek hun, shukriya. Aap kaise hain?""}"
yaar i love you,"{""responseType"": ""text"", ""content"": ""I love you too meri jaan, also I'm here to help you in any way I can."", ""speak"": ""I love you too meri jaan, also I'm here to help you in any way I can.""}"
i love you,"{""responseType"": ""text"", ""content"": ""I love you too!  How can I help you today?"", ""speak"": ""I love you too! How can I help you today?""}"
main tumai pasand krta hoon,"{""responseType"": ""text"", ""content"": ""Shukriya!  Main bhi aapko pasand karta hun.  Aapki kya madad kar sakta hu?"", ""speak"": ""Shukriya! Main bhi aapko pasand karta hun. Aapki kya madad kar sakta hu?""}"
